,Label,Description,Side,SideNumber,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,Frontal_L,Left,1,202289.0,35176.2456792452,0.863412004415631,1.98216271400452,1.55704988386199,97.3220837514645,148.643287573719,153.287573718788,53.5322036743164,62.005859375,106.109535217285,59,124,81,200,114,195,202289,97.3220837514645,148.643287573719,153.287573718788
1,2,Parietal_L,Left,1,126770.0,33680.1776276625,0.762376277466118,1.54527497291565,1.79381558769671,93.0279245878362,89.459272698588,146.668920091504,53.1474494934082,63.737419128418,82.1274261474609,57,123,44,134,107,186,253540,93.0279245878362,89.459272698588,146.668920091504
2,3,Temporal_L,Left,1,119697.0,22485.7156363768,0.83130899851453,1.79917418956757,1.38201285027623,81.0981227599689,116.39930825334,112.479360384972,47.0170669555664,52.5704574584961,84.5918960571289,54,120,64,165,84,140,359091,81.0981227599689,116.39930825334,112.479360384972
3,4,Occipital_L,Left,1,45549.0,12547.5885156928,0.809409605421813,1.70286822319031,1.99635864721471,99.9290214933368,65.2759445871479,109.974159696151,32.6109161376953,49.6771774291992,55.5320930480957,68,122,39,105,85,144,182196,99.9290214933368,65.2759445871479,109.974159696151
4,5,BrainStem_L,Left,1,9513.0,3352.86154437015,0.965955862350712,3.86537790298462,1.6561185241017,114.793755912961,113.153789551141,95.3303899926416,13.3851737976074,26.4557113647461,51.7387542724609,106,121,101,128,59,123,47565,114.793755912961,113.153789551141,95.3303899926416
5,6,Cerebellum_L,Left,1,78379.0,11084.0562976898,0.695033506227908,1.39086449146271,2.13341511117017,101.283749473711,85.6124727286646,80.2749588537746,39.9110794067383,53.2397918701172,55.5109024047852,71,123,53,121,56,117,470274,101.283749473711,85.6124727286646,80.2749588537746
6,7,Frontal_R,Right,2,198710.0,34252.7318471931,0.885147616278114,2.14910340309143,1.58390962209346,142.683936389714,145.726234210659,153.365376679583,51.1524085998535,63.1416130065918,109.931816101074,103,180,68,199,112,194,1390970,142.683936389714,145.726234210659,153.365376679583
7,8,Parietal_R,Right,2,132921.0,33540.8119045553,0.769751720483919,1.56655490398407,1.53771318122868,148.311568525666,86.7123705057892,147.437538086533,51.6771392822266,64.8917999267578,80.955078125,119,185,43,185,116,185,1063368,148.311568525666,86.7123705057892,147.437538086533
8,9,Temporal_R,Right,2,115934.0,22531.0389440841,0.862463343114076,1.97581779956818,1.75081271612747,159.624475994963,111.212155191747,112.782781582625,44.8646202087402,52.3714790344238,88.6443176269531,120,187,55,161,85,143,1043406,159.624475994963,111.212155191747,112.782781582625
9,10,Occipital_R,Right,2,51884.0,14329.4652910553,0.735797744709001,1.47666573524475,0.757617852536764,142.246588543674,60.2887980880426,111.453569501195,38.2788848876953,51.0084419250488,56.5251159667969,119,176,37,102,84,147,518840,142.246588543674,60.2887980880426,111.453569501195
10,11,BrainStem_R,Right,2,11911.0,3889.45722845641,0.966086593746476,3.87269234657288,0.237340369824204,124.811518764168,112.447989253631,91.3326336999412,15.588436126709,24.8137855529785,60.3692169189453,110,136,100,128,60,123,131021,124.811518764168,112.447989253631,91.3326336999412
11,12,Cerebellum_R,Right,2,80255.0,11385.2532283857,0.64591770687131,1.3099170923233,2.45930921472965,142.144938010093,84.0282848420659,80.8464270138932,43.0257568359375,50.8610877990723,56.3601760864258,119,175,53,120,57,117,963060,142.144938010093,84.0282848420659,80.8464270138932
