,Unnamed: 0,Label,Description,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,0,background,,,,,,,,,,,,,,,,,,,,,
1,1,5,left aLEC,554.591827117838,509.711354609469,0.978337020349498,4.83048534393311,1.35894392245236,99.8621236133122,136.223454833597,76.0190174326466,5.64348220825195,9.30966758728027,27.2607574462891,95.0,104.0,122.0,148.0,72.0,81.0,3155.0,99.8621236133122,136.223454833597,76.0190174326466
2,2,6,right aLEC,600.2951155649498,550.444090880839,0.981660857743474,5.24560785293579,1.9044541555434,139.726207906296,138.857979502196,76.6983894582723,5.78800487518311,9.15406322479248,30.3616046905518,134.0,146.0,123.0,151.0,73.0,82.0,4098.0,139.726207906296,138.857979502196,76.6983894582723
3,3,7,left pMEC,329.5910224551335,372.49497895617,0.985746701873762,5.94402122497559,1.2463251270264,101.165333333333,126.674666666667,80.7973333333333,4.02512836456299,8.30978488922119,23.9254493713379,94.0,106.0,116.0,140.0,77.0,87.0,2625.0,101.165333333333,126.674666666667,80.7973333333333
4,4,8,right pMEC,348.048119712621,366.079088434356,0.982083273618217,5.30651903152466,2.03115418942727,139.608585858586,130.44696969697,81.6111111111111,4.51015949249268,7.31697511672974,23.9332466125488,133.0,147.0,120.0,143.0,78.0,87.0,3168.0,139.608585858586,130.44696969697,81.6111111111111
5,5,9,left perirhinal,1662.8965719603002,1034.6389285835,0.963357989840085,3.7282977104187,1.47650225315599,90.6131078224101,129.44133192389,75.3837209302326,8.57570648193359,13.2623977661133,31.972785949707,83.0,97.0,115.0,144.0,66.0,83.0,17028.0,90.6131078224101,129.44133192389,75.3837209302326
6,6,10,right perirhinal,1596.0994580760598,945.35027911316,0.96129399757658,3.62943887710571,1.90785902387948,149.636013215859,132.347466960352,75.6558370044053,8.83906555175781,11.4354629516602,32.0808486938477,141.0,159.0,119.0,148.0,68.0,83.0,18160.0,149.636013215859,132.347466960352,75.6558370044053
7,7,11,left parahippocampal,2815.146786463447,1539.75014341789,0.93655801178433,2.85296416282654,1.9275102597144,97.4364658133,106.440524508273,87.1963783952545,10.1644144058228,20.8265438079834,28.9987106323242,87.0,110.0,94.0,123.0,76.0,96.0,35233.0,97.4364658133,106.440524508273,87.1963783952545
8,8,12,right parahippocampal,2699.13074655924,1541.26902958046,0.916524526011152,2.50013470649719,1.25269998157627,146.592640833605,112.529143601433,87.51676978183,10.8615970611572,21.6244468688965,27.1554546356201,133.0,157.0,99.0,127.0,76.0,96.0,36852.0,146.592640833605,112.529143601433,87.51676978183
9,9,13,left DG/CA3,764.6511720959097,781.836363305813,0.99104569570843,7.48933792114258,1.58553264679335,93.9287356321839,121.202298850575,90.8609195402299,5.54117345809937,15.6360874176025,41.4997215270996,89.0,110.0,102.0,135.0,83.0,107.0,11310.0,93.9287356321839,121.202298850575,90.8609195402299
10,10,14,right DG/CA3,753.2253499841318,741.679880428373,0.989729649453124,6.99536418914795,1.80029050324786,148.981330221704,127.001166861144,91.3558926487748,5.34680557250977,14.2821273803711,37.4028511047363,136.0,155.0,110.0,140.0,83.0,104.0,11998.0,148.981330221704,127.001166861144,91.3558926487748
11,11,15,left CA1,2122.5661846110597,1760.08993620199,0.988666374724519,6.66092586517334,1.70552880770219,94.6024844720497,121.286542443064,90.2281573498965,8.85399055480957,24.1467666625977,58.9757766723633,85.0,111.0,101.0,142.0,78.0,106.0,36225.0,94.6024844720497,121.286542443064,90.2281573498965
12,12,16,right CA1,2087.409808882512,1717.6251553217,0.986768071417859,6.16758060455322,1.61049972255198,148.055157894737,128.114526315789,90.0202105263158,9.08927440643311,23.1195125579834,56.0588340759277,133.0,157.0,108.0,145.0,78.0,107.0,38000.0,148.055157894737,128.114526315789,90.0202105263158
13,13,17,left subiculum,894.7297622915357,861.394604339618,0.994768093206883,9.78867244720459,1.67133144787556,97.1925343811395,123.598231827112,86.9499017681729,4.29051494598389,13.0071487426758,41.9984436035156,89.0,105.0,107.0,141.0,76.0,99.0,17306.0,97.1925343811395,123.598231827112,86.9499017681729
14,14,18,right subiculum,915.8235877286643,864.742902977228,0.994033565799013,9.16803646087646,1.61782230175316,145.008637236084,129.024952015355,87.1909788867562,4.44339609146118,13.2512445449829,40.7372169494629,136.0,152.0,112.0,144.0,77.0,100.0,18756.0,145.008637236084,129.024952015355,87.1909788867562
