,Unnamed: 0,Label,Description,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,0,background,,,,,,,,,,,,,,,,,,,,,
1,1,5,left aLEC,905.0,712.003766052174,0.970212623616752,4.12788248062134,1.04805197860022,95.0209944751381,124.293922651934,105.020994475138,6.26461601257324,12.5755472183228,25.85959815979,86.0,102.0,112.0,134.0,100.0,113.0,4525.0,95.0209944751381,124.293922651934,105.020994475138
2,2,6,right aLEC,913.0,717.015749860412,0.973071823531989,4.33835506439209,2.14129557163466,139.761226725082,124.831325301205,104.230010952903,5.38022613525391,14.6515445709229,23.3413314819336,132.0,147.0,113.0,134.0,100.0,111.0,5478.0,139.761226725082,124.831325301205,104.230010952903
3,3,7,left pMEC,389.0,388.808990821753,0.972656871167747,4.30576324462891,1.01583062298536,96.5784061696658,116.254498714653,109.578406169666,4.85349607467651,7.93324708938599,20.8980045318604,90.0,102.0,109.0,128.0,106.0,115.0,2723.0,96.5784061696658,116.254498714653,109.578406169666
4,4,8,right pMEC,332.0,342.449664240807,0.966788742954076,3.91271758079529,2.12121167701557,137.647590361446,117.268072289157,109.442771084337,4.59358739852905,8.20468139648438,17.97340965271,132.0,144.0,111.0,127.0,106.0,115.0,2656.0,137.647590361446,117.268072289157,109.442771084337
5,5,9,left perirhinal,1857.0,1096.02289036071,0.920072779896696,2.55266499519348,1.32961063290718,83.6752827140549,120.238556812062,104.443187937534,11.0158386230469,12.8061780929565,28.1197452545166,75.0,92.0,108.0,133.0,94.0,113.0,16713.0,83.6752827140549,120.238556812062,104.443187937534
6,6,10,right perirhinal,1749.0,1027.07577572587,0.936257147301687,2.84644460678101,1.70218043368215,151.098341909663,120.510005717553,103.802744425386,10.0937376022339,12.9998264312744,28.7312660217285,143.0,159.0,109.0,134.0,95.0,112.0,17490.0,151.098341909663,120.510005717553,103.802744425386
7,7,11,left parahippocampal,3927.0,1860.26080274082,0.906032672707811,2.36290550231934,2.43548156135558,90.1163738222562,100.692386045327,114.911128087599,12.0305070877075,21.488582611084,28.4269523620605,78.0,106.0,89.0,113.0,103.0,124.0,43197.0,90.1163738222562,100.692386045327,114.911128087599
8,8,12,right parahippocampal,3685.0,1899.44007277607,0.922932389910154,2.59765839576721,1.48301573584559,144.990773405699,99.2200814111262,114.414925373134,11.2203388214111,22.5436401367188,29.1466083526611,131.0,156.0,85.0,113.0,103.0,123.0,44220.0,144.990773405699,99.2200814111262,114.414925373134
9,9,13,left DG/CA3,694.0,712.905354479571,0.989977876644362,7.08102321624756,1.404630491454,87.514409221902,112.720461095101,120.076368876081,4.94515037536621,16.7694664001465,35.0167236328125,82.0,103.0,97.0,124.0,112.0,135.0,9022.0,87.514409221902,112.720461095101,120.076368876081
10,10,14,right DG/CA3,833.0,802.872847703672,0.991050231212195,7.49122714996338,1.74530584755067,147.22569027611,111.777911164466,119.394957983193,4.89600849151611,15.2487335205078,36.6771125793457,134.0,154.0,94.0,124.0,112.0,134.0,11662.0,147.22569027611,111.777911164466,119.394957983193
11,11,15,left CA1,2197.0,1778.33492348361,0.987845259430635,6.43333053588867,1.57364712674763,88.5885298133819,114.655894401457,118.728265817023,8.1081075668335,25.1765594482422,52.1621360778809,79.0,103.0,96.0,130.0,107.0,135.0,32955.0,88.5885298133819,114.655894401457,118.728265817023
12,12,16,right CA1,2132.0,1785.36215978085,0.989125709309204,6.79936552047729,1.57626086861051,146.212476547842,113.771575984991,117.895872420263,8.2577657699585,23.0699672698975,56.1475677490234,132.0,155.0,91.0,131.0,106.0,134.0,34112.0,146.212476547842,113.771575984991,117.895872420263
13,13,17,left subiculum,954.0,919.843868164046,0.993785680560794,8.98388004302979,1.59168425360244,90.8805031446541,115.357442348008,115.138364779874,4.19011497497559,14.6141576766968,37.6434898376465,83.0,100.0,100.0,129.0,107.0,127.0,16218.0,90.8805031446541,115.357442348008,115.138364779874
14,14,18,right subiculum,887.0,876.247021699248,0.995453950691068,10.4993419647217,1.52106055541343,143.704622322435,114.706877113867,114.457722660654,3.92843866348267,12.7192182540894,41.246021270752,135.0,151.0,98.0,129.0,106.0,126.0,15966.0,143.704622322435,114.706877113867,114.457722660654
