,Label,Description,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,BN_STR_Pu_Left,5770.0,2262.0190858739,0.939792956078967,2.92616391181946,1.11677089340406,60.6450606585789,126.215944540728,130.31143847487,12.5815839767456,21.61985206604,36.8157768249512,50,73,106,143,115,142,5770,60.6450606585789,126.215944540728,130.31143847487
1,2,BN_STR_Ca_Left,4126.0,2254.96437908817,0.94277243544119,2.99906849861145,1.26624512715522,71.3633058652448,128.513087736306,138.514299563742,16.5097846984863,25.3097515106201,49.5139770507812,46,81,92,145,116,150,8252,71.3633058652448,128.513087736306,138.514299563742
2,3,BN_STR_NAC_Left,459.0,342.975543090294,0.892913050499582,2.22109127044678,2.96933204532021,76.1764705882353,132.259259259259,123.58605664488,6.05015277862549,8.65011596679688,13.4379415512085,70,81,129,137,118,129,1377,76.1764705882353,132.259259259259,123.58605664488
3,4,EXA_Left,197.0,256.377818938822,0.88879148653259,2.18192076683044,2.97488969660645,78.3096446700508,125.126903553299,129.340101522843,7.15991735458374,8.26583194732666,15.622371673584,69,82,122,130,121,137,788,78.3096446700508,125.126903553299,129.340101522843
4,5,BN_GP_GPe_Left,647.0,546.577762601747,0.95509032561914,3.37478923797607,0.6803155961741,66.7805255023184,123.474497681607,128.908809891808,6.32638597488403,10.3148536682129,21.3502197265625,58,75,114,130,124,134,3235,66.7805255023184,123.474497681607,128.908809891808
5,6,BN_GP_GPi_Left,512.0,390.718097082704,0.931135825304493,2.74218606948853,0.465026431251669,67.869140625,120.21875,124.7109375,5.46751737594604,9.83793258666992,14.9929504394531,61,75,115,125,119,129,3072,67.869140625,120.21875,124.7109375
6,7,MTg_SN_SNc_Left,134.0,206.304609664496,0.956941758182932,3.44494986534119,1.34904371825344,76.0373134328358,107.776119402985,113.111940298507,3.10131764411926,9.75152969360352,10.6838836669922,72,81,102,113,110,117,938,76.0373134328358,107.776119402985,113.111940298507
7,8,MTg_RN_Left,291.0,224.415541538383,0.796859961544235,1.65517961978912,1.47449745570213,79.6666666666667,106.841924398625,116.969072164948,5.95893478393555,7.19584608078003,9.86310768127441,76,83,103,111,112,121,2328,79.6666666666667,106.841924398625,116.969072164948
8,9,MTg_SN_SNr_Left,262.0,312.919190126099,0.967977570771589,3.98348140716553,1.07452733123893,74.293893129771,110.515267175573,114.435114503817,3.66063237190247,10.4621591567993,14.5820608139038,70,80,104,116,110,118,2358,74.293893129771,110.515267175573,114.435114503817
9,10,MTg_VTR_PBP_Left,131.0,212.131773568907,0.977594425565553,4.75065326690674,1.82127206847172,77.2519083969466,108.335877862595,115.091603053435,2.75578093528748,9.4301176071167,13.0917596817017,72,82,103,112,109,119,1310,77.2519083969466,108.335877862595,115.091603053435
10,11,MTg_VTR_VTA_Left,44.0,77.2761682365413,0.938804467041374,2.90317440032959,1.89679128276172,81.0,106.681818181818,111.159090909091,3.03692984580994,4.3190016746521,8.81673717498779,79,83,104,110,107,115,484,81.0,106.681818181818,111.159090909091
11,12,BN_GP_VeP_Left,108.0,144.12183535597,0.958881905162339,3.52354145050049,0.0542310614305435,74.1481481481482,127.231481481481,122.296296296296,3.06442070007324,5.6830096244812,10.7976131439209,69,79,125,130,120,126,1296,74.1481481481482,127.231481481481,122.296296296296
12,13,THM_ETH_HN_Left,33.0,57.8057632500763,0.925370788782915,2.63808274269104,0.915227695689037,80.6363636363636,100.575757575758,125.787878787879,2.90254497528076,3.04770469665527,7.65715360641479,79,82,99,103,123,129,429,80.6363636363636,100.575757575758,125.787878787879
13,14,Die_HTH_Left,827.0,662.804758107317,0.847005338388537,1.88116884231567,1.52733981194089,80.6807738814994,120.588875453446,120.181378476421,8.27076148986816,11.5620374679565,15.5586986541748,76,84,112,128,114,128,11578,80.6807738814994,120.588875453446,120.181378476421
14,15,Die_HTH_MN_Left,67.0,80.0165179961588,0.657783463457877,1.3276561498642,2.31014103833104,83.2985074626866,117.328358208955,116.164179104478,4.15370750427246,4.56206750869751,5.5146951675415,81,85,115,119,114,118,1005,83.2985074626866,117.328358208955,116.164179104478
15,16,Die_STH_Left,188.0,200.188444725854,0.958755657604251,3.5182580947876,0.715296624905753,73.781914893617,112.872340425532,119.835106382979,3.52362537384033,6.74258089065552,12.3970232009888,69,79,108,117,117,122,3008,73.781914893617,112.872340425532,119.835106382979
16,17,BN_STR_Pu_Right,5997.0,2261.06640126206,0.943183738586328,3.00958585739136,1.92388918915099,110.541937635484,123.542604635651,130.60963815241,12.6158056259155,21.3202896118164,37.9683494567871,99,120,103,142,114,142,101949,110.541937635484,123.542604635651,130.60963815241
17,18,BN_STR_Ca_Right,4081.0,2241.31032782795,0.946362261127218,3.09494495391846,1.78840196196524,100.352854692477,126.310218083803,139.031364861554,16.6850929260254,25.2103595733643,51.6394424438477,91,123,89,145,115,149,73458,100.352854692477,126.310218083803,139.031364861554
18,19,BN_STR_NAC_Right,458.0,334.103733506895,0.874850650693897,2.06444048881531,3.02345210748216,95.7292576419214,131.338427947598,124.64192139738,6.20148229598999,8.75489902496338,12.8025913238525,90,102,128,136,120,129,8702,95.7292576419214,131.338427947598,124.64192139738
