,Label,Description,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,BN_STR_Pu_Left,6660.0,2516.68991943281,0.954086016282918,3.33853316307068,1.27151309956163,96.5214714714715,138.977777777778,141.018918918919,11.9523315429688,23.528413772583,39.9032554626465,88,107,116,158,124,154,6660,96.5214714714715,138.977777777778,141.018918918919
1,2,BN_STR_Ca_Left,4168.0,2413.53277756203,0.969704065440974,4.09361791610718,1.41995704411893,106.752399232246,142.724088291747,148.941458733205,13.7829780578613,26.7961368560791,56.422248840332,87,115,101,161,127,162,8336,106.752399232246,142.724088291747,148.941458733205
2,3,BN_STR_NAC_Left,526.0,362.263114118213,0.87207303991282,2.04341959953308,3.09468488904992,110.355513307985,146.872623574144,132.357414448669,6.51364660263062,9.23273658752441,13.3101139068604,104,116,143,152,127,138,1578,110.355513307985,146.872623574144,132.357414448669
3,4,EXA_Left,186.0,267.314440160959,0.876339015658285,2.076003074646,3.06796310729081,113.177419354839,140.198924731183,139.150537634409,7.36403322219849,8.56959056854248,15.2877559661865,104,117,137,146,131,148,744,113.177419354839,140.198924731183,139.150537634409
4,5,BN_GP_GPe_Left,761.0,606.683357211011,0.965498720572771,3.84013080596924,0.936128241239811,102.57950065703,136.258869908016,139.980289093298,5.87901258468628,11.092887878418,22.5761775970459,95,110,125,145,135,145,3805,102.57950065703,136.258869908016,139.980289093298
5,6,BN_GP_GPi_Left,559.0,402.939916994271,0.933025143052794,2.77923536300659,0.759932677464966,103.88908765653,132.799642218247,135.69946332737,5.82611465454102,9.15449714660645,16.1921443939209,97,110,126,138,130,141,3354,103.88908765653,132.799642218247,135.69946332737
6,7,MTg_SN_SNc_Left,150.0,226.308029184294,0.975025765285951,4.50264310836792,1.40881971628755,111.893333333333,120.866666666667,125.246666666667,2.64163947105408,10.2097644805908,11.894359588623,108,116,115,126,121,129,1050,111.893333333333,120.866666666667,125.246666666667
7,8,MTg_RN_Left,321.0,240.281947096765,0.764428481594799,1.55108845233917,1.44603658792138,115.02492211838,119.747663551402,129.183800623053,6.42481899261475,7.35806179046631,9.96546268463135,112,118,115,124,124,133,2568,115.02492211838,119.747663551402,129.183800623053
8,9,MTg_SN_SNr_Left,286.0,333.648988951136,0.972236685870346,4.27351093292236,1.13906702857056,110.517482517483,123.520979020979,125.765734265734,3.45947098731995,10.8201808929443,14.7840871810913,106,116,116,130,121,130,2574,110.517482517483,123.520979020979,125.765734265734
9,10,MTg_VTR_PBP_Left,136.0,230.001597920665,0.982964146710302,5.44077348709106,1.66475448283282,112.897058823529,121.375,127.066176470588,2.54487562179565,9.9185962677002,13.8460912704468,107,117,115,126,121,132,1360,112.897058823529,121.375,127.066176470588
