,Unnamed: 0,Label,Description,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,0,background,,,,,,,,,,,,,,,,,,,,,
1,1,5,left aLEC,900.0,710.863996927264,0.970726493834316,4.16341257095337,1.04686075409858,95.0477777777778,124.297777777778,105.042222222222,6.18365955352783,12.7655916213989,25.7451267242432,87.0,102.0,112.0,134.0,100.0,113.0,4500.0,95.0477777777778,124.297777777778,105.042222222222
2,2,6,right aLEC,922.0,720.257221500826,0.973061541796888,4.33753824234009,2.13371931545384,139.762472885033,124.804772234273,104.23535791757,5.38750219345093,14.6783008575439,23.3684959411621,132.0,148.0,113.0,134.0,100.0,111.0,5532.0,139.762472885033,124.804772234273,104.23535791757
3,3,7,left pMEC,394.0,393.438153732955,0.973421730573946,4.36643218994141,1.01148911953494,96.6192893401015,116.149746192893,109.596446700508,4.78822994232178,8.12007427215576,20.9074802398682,90.0,103.0,109.0,128.0,106.0,115.0,2758.0,96.6192893401015,116.149746192893,109.596446700508
4,4,8,right pMEC,325.0,338.104524987251,0.967515167163564,3.95549321174622,2.11965695772732,137.529230769231,117.372307692308,109.430769230769,4.56875801086426,8.018723487854,18.0716915130615,132.0,144.0,111.0,127.0,106.0,115.0,2600.0,137.529230769231,117.372307692308,109.430769230769
5,5,9,left perirhinal,1884.0,1107.52332919127,0.920600076044203,2.56077551841736,1.32776397937368,83.6215498938429,120.231422505308,104.445329087049,11.0237016677856,12.9180746078491,28.2292251586914,75.0,92.0,108.0,133.0,94.0,113.0,16956.0,83.6215498938429,120.231422505308,104.445329087049
6,6,10,right perirhinal,1757.0,1034.49429233389,0.935715451520308,2.8348228931427,1.69779488947632,151.082527034718,120.428002276608,103.827546955037,10.1591396331787,13.0120697021484,28.7993621826172,143.0,159.0,109.0,134.0,95.0,112.0,17570.0,151.082527034718,120.428002276608,103.827546955037
7,7,11,left parahippocampal,3913.0,1862.91709493364,0.906410807127174,2.36743950843811,2.43505971062554,90.1224124712497,100.665985177613,114.936110401227,11.9930067062378,21.4059314727783,28.3927173614502,78.0,106.0,89.0,113.0,103.0,124.0,43043.0,90.1224124712497,100.665985177613,114.936110401227
8,8,12,right parahippocampal,3682.0,1904.14167286326,0.922988503780697,2.59856677055359,1.49267275055228,144.970939706681,99.2417164584465,114.425040738729,11.2148141860962,22.6084671020508,29.1424446105957,131.0,156.0,85.0,113.0,103.0,123.0,44184.0,144.970939706681,99.2417164584465,114.425040738729
9,9,13,left DG/CA3,697.0,714.149453433004,0.989912011496433,7.05798578262329,1.402412746652,87.5624103299857,112.80774748924,120.018651362984,4.94294786453247,16.7524738311768,34.8872566223145,82.0,103.0,97.0,124.0,112.0,135.0,9061.0,87.5624103299857,112.80774748924,120.018651362984
10,10,14,right DG/CA3,841.0,801.861910375883,0.990816760000511,7.3958215713501,1.75174444815937,147.241379310345,111.865636147444,119.332936979786,4.92593908309937,15.0174808502197,36.4313659667969,135.0,154.0,94.0,124.0,111.0,134.0,11774.0,147.241379310345,111.865636147444,119.332936979786
11,11,15,left CA1,2219.0,1775.31847511519,0.98788712134949,6.44437026977539,1.57383250573029,88.5254619197837,114.675078864353,118.722397476341,8.08756732940674,25.2841167449951,52.1192779541016,78.0,103.0,96.0,130.0,107.0,135.0,33285.0,88.5254619197837,114.675078864353,118.722397476341
12,12,16,right CA1,2134.0,1785.03703638721,0.989160754251854,6.81028938293457,1.57733105098858,146.237582005623,113.774601686973,117.907216494845,8.24478912353516,23.0926933288574,56.1493988037109,132.0,155.0,91.0,131.0,106.0,134.0,34144.0,146.237582005623,113.774601686973,117.907216494845
13,13,17,left subiculum,943.0,908.845319731641,0.993804901001593,8.99776172637939,1.59719532872401,90.864262990456,115.302226935313,115.158006362672,4.16020774841309,14.4906425476074,37.432559967041,83.0,100.0,100.0,129.0,107.0,127.0,16031.0,90.864262990456,115.302226935313,115.158006362672
14,14,18,right subiculum,881.0,873.539867474426,0.995390770874977,10.427300453186,1.52353587355675,143.685584562997,114.770715096481,114.416572077185,3.95588302612305,12.7817497253418,41.2491798400879,135.0,151.0,98.0,129.0,106.0,126.0,15858.0,143.685584562997,114.770715096481,114.416572077185
