,Label,Description,Side,SideNumber,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,Frontal_L,Left,1,202060.0,36151.2958432144,0.846375049482603,1.87762629985809,1.51725842143989,96.4161635157874,148.080367217658,165.262694249233,54.83154296875,62.5602607727051,102.953147888184,59,123,80,200,124,209,202060,96.4161635157874,148.080367217658,165.262694249233
1,2,Parietal_L,Left,1,144966.0,33458.2724573941,0.717291886989169,1.43518805503845,2.07072966465439,93.9122966764621,87.2597229695239,163.447622201068,54.9352416992188,65.1575393676758,78.842399597168,54,125,45,129,128,208,289932,93.9122966764621,87.2597229695239,163.447622201068
2,3,Temporal_L,Left,1,123677.0,22498.1394729312,0.872479315942956,2.04645013809204,1.5635629001552,80.6555220453277,113.363786314351,127.21548064717,43.3623695373535,56.508617401123,88.7389221191406,51,121,59,164,98,156,371031,80.6555220453277,113.363786314351,127.21548064717
3,4,Occipital_L,Left,1,53700.0,13465.4218919225,0.716383688093736,1.43326723575592,2.29684452112439,106.42355679702,61.3114897579143,126.683445065177,39.5349960327148,48.7730903625488,56.6642150878906,70,130,36,104,100,163,214800,106.42355679702,61.3114897579143,126.683445065177
4,5,BrainStem_L,Left,1,9692.0,3358.1022259447,0.967958949188005,3.98234224319458,2.19414532622741,117.657655798597,112.157758976475,108.579034255056,13.1727924346924,26.8496589660645,52.458568572998,107,125,99,128,76,137,48460,117.657655798597,112.157758976475,108.579034255056
5,6,Cerebellum_L,Left,1,80363.0,11411.4581315979,0.660498081963239,1.33186340332031,0.694423382796691,101.170849769172,84.8772569466048,96.7462887149559,42.0349273681641,53.1938247680664,55.9847831726074,68,125,53,121,73,131,482178,101.170849769172,84.8772569466048,96.7462887149559
6,7,Frontal_R,Right,2,201084.0,34446.841552222,0.871946993850465,2.04248237609863,1.59606245003003,143.275914543176,147.435027152832,167.484593503213,52.5635452270508,61.1890869140625,107.36011505127,119,181,76,200,126,210,1407588,143.275914543176,147.435027152832,167.484593503213
7,8,Parietal_R,Right,2,154488.0,34211.8920386801,0.671027882609165,1.34874105453491,1.64664333622744,151.174861477914,87.3814859406556,165.677534824711,56.9575347900391,68.0443954467773,76.8209686279297,119,190,42,130,131,208,1235904,151.174861477914,87.3814859406556,165.677534824711
8,9,Temporal_R,Right,2,122822.0,22574.8066262365,0.854490239081914,1.92504835128784,1.79894474113051,165.603165556659,113.754612365863,130.505300353357,45.5621910095215,56.0321846008301,87.7094192504883,122,196,57,162,101,160,1105398,165.603165556659,113.754612365863,130.505300353357
9,10,Occipital_R,Right,2,55014.0,13834.0427051111,0.72436396481066,1.45049929618835,0.862732831495319,149.193841567601,61.0839604464318,130.344730432254,38.809440612793,51.7230644226074,56.2930641174316,125,184,35,103,104,167,550140,149.193841567601,61.0839604464318,130.344730432254
10,11,BrainStem_R,Right,2,10789.0,3573.4135647914,0.965103911019686,3.81872940063477,1.53990439816603,128.454351654463,111.788117527111,108.188247288905,14.1591711044312,26.8675136566162,54.0700416564941,121,139,99,128,76,137,118679,128.454351654463,111.788117527111,108.188247288905
11,12,Cerebellum_R,Right,2,83502.0,11628.9394673369,0.618531631849592,1.27265334129333,2.61285868411236,145.881990850519,83.9476299968863,99.4154750784412,44.5816116333008,51.1303634643555,56.7369384765625,122,184,52,121,73,131,1002024,145.881990850519,83.9476299968863,99.4154750784412
