,Label,Description,Side,SideNumber,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,Frontal_L,Left,1,208932.0,37178.3992770575,0.889062504739303,2.18442749977112,1.59409903217313,78.4716271322727,154.253455669787,160.735516818869,51.1996803283691,63.5735244750977,111.841995239258,43,103,89,208,116,212,208932,78.4716271322727,154.253455669787,160.735516818869
1,2,Parietal_L,Left,1,145346.0,34997.3045326537,0.724315556289306,1.45039236545563,1.77112554588445,76.6759387943253,93.3990546695472,167.885796650751,56.6125373840332,64.2673721313477,82.1103897094727,40,105,41,140,116,215,290692,76.6759387943253,93.3990546695472,167.885796650751
2,3,Temporal_L,Left,1,123459.0,21850.5715849685,0.872234774084853,2.04462432861328,1.47664933913944,64.1142484549527,112.076009039438,127.497063802558,44.8705215454102,51.9228515625,91.7433624267578,37,102,56,163,96,163,370377,64.1142484549527,112.076009039438,127.497063802558
3,4,Occipital_L,Left,1,55683.0,14176.516633651,0.708945849896116,1.41791081428528,2.14925141855456,87.263796850026,59.4652227789451,136.074062101539,39.2483901977539,49.9318771362305,55.6507186889648,51,109,34,103,111,175,222732,87.263796850026,59.4652227789451,136.074062101539
4,5,BrainStem_L,Left,1,10210.0,3336.47592382414,0.969414656320302,4.07450389862061,1.74751724974314,97.0261508325171,110.502448579824,108.506562193928,12.8513402938843,27.6637058258057,52.3628349304199,87,102,94,128,78,138,51050,97.0261508325171,110.502448579824,108.506562193928
5,6,Cerebellum_L,Left,1,74609.0,10638.9875043358,0.657610095800518,1.32738935947418,2.7841856536316,82.3590853650364,82.7044458443351,102.267836320015,41.3436012268066,51.3509140014648,54.8790550231934,49,105,53,118,77,139,447654,82.3590853650364,82.7044458443351,102.267836320015
6,7,Frontal_R,Right,2,213358.0,36758.298168646,0.875432215624675,2.06893301010132,1.61921944337377,123.97140955577,156.443770564029,161.598688589132,53.6434135437012,62.512580871582,110.98462677002,99,164,89,209,117,212,1493506,123.97140955577,156.443770564029,161.598688589132
7,8,Parietal_R,Right,2,145838.0,35436.279909181,0.667785725931893,1.3434476852417,1.5351105610779,130.755543822598,98.2873119488748,169.280557879291,58.1689300537109,66.820068359375,78.1469116210938,101,167,52,142,129,213,1166704,130.755543822598,98.2873119488748,169.280557879291
8,9,Temporal_R,Right,2,119462.0,21493.8337556598,0.875107496095821,2.06642055511475,1.76727325327164,141.929969362643,117.10632669803,128.787790259664,43.0118064880371,53.1292152404785,88.880485534668,102,169,61,164,97,160,1075158,141.929969362643,117.10632669803,128.787790259664
9,10,Occipital_R,Right,2,54478.0,13686.5092497598,0.690796772891802,1.38303208351135,1.19519645493311,124.235416131282,64.6970703770329,140.286684533206,40.3322525024414,49.2556381225586,55.7807998657227,104,155,39,109,115,180,544780,124.235416131282,64.6970703770329,140.286684533206
10,11,BrainStem_R,Right,2,11132.0,3554.20934535585,0.967421413576621,3.94989156723022,1.4216976526474,107.672385914481,110.72017606899,108.162324829321,13.5854845046997,27.8630294799805,53.661190032959,101,118,94,128,78,138,122452,107.672385914481,110.72017606899,108.162324829321
11,12,Cerebellum_R,Right,2,73070.0,10445.6356863504,0.633774396708697,1.29279482364655,0.112041716383654,124.147557136992,83.3454495689065,104.542493499384,41.2241973876953,51.7529716491699,53.2944297790527,101,157,53,119,80,139,876840,124.147557136992,83.3454495689065,104.542493499384
