,Label,Description,Side,SideNumber,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,Frontal_L,Left,1,202750.0,36150.202125526,0.84938170789062,1.89473235607147,1.56314784018207,61.9769568434032,144.723945745993,153.462199753391,55.1925239562988,63.067943572998,104.575057983398,23,87,80,195,108,200,202750,61.9769568434032,144.723945745993,153.462199753391
1,2,Parietal_L,Left,1,154695.0,37215.4521014221,0.786376750763592,1.61878514289856,1.81677008392745,56.5109990626717,83.4369501276706,158.141316784641,53.567325592041,66.8003692626953,86.7139892578125,19,87,33,131,123,199,309390,56.5109990626717,83.4369501276706,158.141316784641
2,3,Temporal_L,Left,1,127843.0,23489.5503622179,0.86592906843523,1.99933290481567,1.46107215023506,44.1894198352667,106.900667224643,119.867978692615,44.7613525390625,56.5033340454102,89.4928436279297,16,86,46,158,90,153,383529,44.1894198352667,106.900667224643,119.867978692615
3,4,Occipital_L,Left,1,57570.0,14513.3912614754,0.767972426757359,1.56132197380066,2.0734854477212,63.8884314747264,51.6869202709745,126.672902553413,38.9187431335449,47.15869140625,60.7646903991699,30,88,24,96,104,163,230280,63.8884314747264,51.6869202709745,126.672902553413
4,5,BrainStem_L,Left,1,11369.0,3556.9509354548,0.955898289217497,3.4048593044281,1.66185329836003,79.8165186032193,104.128331427566,99.6609200457384,14.5826377868652,28.7250919342041,49.6518287658691,70,88,89,121,69,128,56845,79.8165186032193,104.128331427566,99.6609200457384
5,6,Cerebellum_L,Left,1,79532.0,11248.2233130636,0.741513054837708,1.49044966697693,2.77152959314841,62.5562163657396,75.6664612985968,92.8414726147966,38.703556060791,53.1867942810059,57.6857032775879,31,86,42,113,69,126,477192,62.5562163657396,75.6664612985968,92.8414726147966
6,7,Frontal_R,Right,2,205133.0,35598.8869545036,0.85233461624899,1.91205728054047,1.6242256377926,108.84395977244,145.03992044186,153.229363388631,54.970832824707,63.0718879699707,105.107383728027,84,152,77,197,110,199,1435931,108.84395977244,145.03992044186,153.229363388631
7,8,Parietal_R,Right,2,151471.0,36536.1662962942,0.730200793426209,1.46363031864166,1.35792252646096,114.40437443471,84.3533679714269,156.713780195549,55.527214050293,67.987419128418,81.2713165283203,85,154,33,130,122,199,1211768,114.40437443471,84.3533679714269,156.713780195549
8,9,Temporal_R,Right,2,129425.0,25080.0701400753,0.888467220461297,2.17893362045288,1.67211370508161,128.193301139656,108.016001545297,118.951493142747,42.7524757385254,58.4284744262695,93.1548080444336,86,159,49,160,88,157,1164825,128.193301139656,108.016001545297,118.951493142747
9,10,Occipital_R,Right,2,57885.0,14265.9799100773,0.745001254678657,1.49910867214203,0.790137076090802,107.370700526907,51.5058478016757,126.842549883389,39.6748657226562,49.6709442138672,59.476936340332,71,142,25,94,102,161,578850,107.370700526907,51.5058478016757,126.842549883389
10,11,BrainStem_R,Right,2,11512.0,3683.71989758985,0.964224863282064,3.77236533164978,1.18938354433589,91.2410528144545,103.224808895066,98.2916956219597,14.2759399414062,27.716724395752,53.854061126709,83,102,88,120,69,128,126632,91.2410528144545,103.224808895066,98.2916956219597
11,12,Cerebellum_R,Right,2,79214.0,11208.1728554312,0.666832728194496,1.34190833568573,0.103393887083997,107.461572449315,75.4697780695332,92.4467139647032,41.1218605041504,53.1687660217285,55.1817665100098,82,140,42,113,68,126,950568,107.461572449315,75.4697780695332,92.4467139647032
