,Label,Description,Side,SideNumber,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,Frontal_L,Left,1,194821.0,35353.7471781282,0.847423438857894,1.88353145122528,1.57801857080989,96.1297858033785,150.256825496225,145.659615749842,54.5306549072266,62.7091789245605,102.710205078125,57,121,88,199,100,193,194821,96.1297858033785,150.256825496225,145.659615749842
1,2,Parietal_L,Left,1,150024.0,35645.8221456934,0.777516276874142,1.59017193317413,1.79861801233895,91.2249440089586,90.0253092838479,152.601430437797,53.633415222168,65.3440475463867,85.2863540649414,54,121,40,136,119,193,300048,91.2249440089586,90.0253092838479,152.601430437797
2,3,Temporal_L,Left,1,128795.0,23211.2993251996,0.864222731267306,1.98763918876648,1.47852563185854,78.4130129275205,111.632726425715,113.347451376218,44.9884643554688,56.3550186157227,89.4208374023438,50,120,53,162,83,147,386385,78.4130129275205,111.632726425715,113.347451376218
3,4,Occipital_L,Left,1,56240.0,13477.0048859463,0.758332806994241,1.53405380249023,2.08871923204998,98.6646870554765,57.2032361308677,122.52043029872,38.6324729919434,47.5939521789551,59.2642936706543,66,122,30,102,101,160,224960,98.6646870554765,57.2032361308677,122.52043029872
4,5,BrainStem_L,Left,1,10882.0,3441.46087091547,0.960894431967193,3.61121726036072,1.66256434851811,113.971972063959,108.10420878515,93.0310604668259,13.9361944198608,28.5545024871826,50.3266258239746,104,120,92,125,63,122,54410,113.971972063959,108.10420878515,93.0310604668259
5,6,Cerebellum_L,Left,1,83204.0,11446.5198253561,0.752299734483846,1.51786303520203,2.75786080984736,96.3401519157733,79.4547257343397,87.5767511177347,39.1702995300293,53.5146751403809,59.455150604248,63,120,46,116,63,121,499224,96.3401519157733,79.4547257343397,87.5767511177347
6,7,Frontal_R,Right,2,200137.0,34871.5328369036,0.849893419091705,1.89769661426544,1.63653448412042,142.542683261966,150.985474949659,145.646866896176,54.8029518127441,62.3456535339355,103.999374389648,116,186,85,202,102,192,1400959,142.542683261966,150.985474949659,145.646866896176
7,8,Parietal_R,Right,2,147817.0,35563.4992158668,0.716016407514352,1.43249344825745,1.34391443507833,148.584357685517,91.6583072312386,151.501396997639,55.4035530090332,67.1865081787109,79.3652267456055,119,188,42,136,116,194,1182536,148.584357685517,91.6583072312386,151.501396997639
8,9,Temporal_R,Right,2,128426.0,24009.1461797616,0.886587939320329,2.16188144683838,1.69083478586323,162.553719651784,113.93045022036,112.870345568654,42.4967994689941,58.8021659851074,91.8730392456055,120,192,55,165,80,143,1155834,162.553719651784,113.93045022036,112.870345568654
9,10,Occipital_R,Right,2,58273.0,13923.7745143357,0.743558096528101,1.49550306797028,0.782891313923036,142.120124242788,57.8833250390404,122.915810066412,39.7362594604492,50.0705108642578,59.4256973266602,106,176,31,101,98,158,582730,142.120124242788,57.8833250390404,122.915810066412
10,11,BrainStem_R,Right,2,11356.0,3659.17769467978,0.965619062879213,3.84672784805298,1.26690610837421,125.178760126805,107.203680873547,92.0774920746742,14.1314296722412,27.6610794067383,54.3597640991211,118,136,91,124,63,122,124916,125.178760126805,107.203680873547,92.0774920746742
11,12,Cerebellum_R,Right,2,83092.0,11468.3072355294,0.672996918075228,1.3519994020462,0.211126924834147,142.069140230106,79.77100081837,87.5216627352814,41.9036064147949,53.2209243774414,56.6536521911621,117,176,47,117,62,121,997104,142.069140230106,79.77100081837,87.5216627352814
