,Label,Description,Side,SideNumber,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,Frontal_L,Left,1,208705.89363629092,37046.6577733086,0.903373473808376,2.33179187774658,1.58014355757775,84.1417827580333,195.716410766149,221.093146207203,63.6160736083984,85.1597290039062,148.339447021484,37,115,103,267,163,288,463787,84.1417827580333,195.716410766149,221.093146207203
1,2,Parietal_L,Left,1,144555.60769183483,35393.1877522018,0.74252761920774,1.4929484128952,1.67887354852809,79.1945447527021,112.780728570005,227.493580963291,73.5714263916016,80.8031311035156,109.838348388672,35,113,42,174,157,290,642464,79.1945447527021,112.780728570005,227.493580963291
2,3,Temporal_L,Left,1,128157.02068961166,22869.6948084662,0.874509827017817,2.06182241439819,1.4608989326856,62.8756280921799,140.514468504974,174.359056290402,59.9078369140625,65.5418167114258,123.519325256348,29,110,65,209,131,221,854373,62.8756280921799,140.514468504974,174.359056290402
3,4,Occipital_L,Left,1,56794.974494404276,14563.1380238421,0.711559480758627,1.4232325553894,1.9853309192811,89.7726408367007,68.2555106568418,183.132659852627,51.1754341125488,67.256721496582,72.8345413208008,44,117,34,129,149,235,504840,89.7726408367007,68.2555106568418,183.132659852627
4,5,BrainStem_L,Left,1,10140.384717985151,3533.35212231507,0.974839444875093,4.48615217208862,1.65927508437223,103.890520990503,137.826351291382,148.6504837135,16.0697631835938,37.3292655944824,72.0914001464844,69,113,116,160,107,189,112670,103.890520990503,137.826351291382,148.6504837135
5,6,Cerebellum_L,Left,1,76962.79298672435,11098.7273958069,0.644310319024524,1.30759263038635,2.15908523575646,83.9452659521596,101.481193028001,139.455278991036,54.6359748840332,68.8451309204102,71.4415969848633,42,114,60,148,107,188,1026162,83.9452659521596,101.481193028001,139.455278991036
6,7,Frontal_R,Right,2,210584.65933246506,36272.9170465117,0.893663446893469,2.22847270965576,1.57081581234639,139.2770908749,196.076296793329,221.969074412025,66.1585311889648,83.3407516479492,147.432479858398,109,188,104,267,161,288,3275734,139.2770908749,196.076296793329,221.969074412025
7,8,Parietal_R,Right,2,143283.89706731073,34796.8676412668,0.66529297722284,1.33943700790405,1.50293831016041,144.298684698153,116.44961464294,229.492453031664,77.9894332885742,79.9654312133789,104.461929321289,110,190,55,176,176,287,2547248,144.298684698153,116.44961464294,229.492453031664
8,9,Temporal_R,Right,2,122719.62526281596,22497.3468356295,0.878148931706028,2.09035611152649,1.70008295436233,159.982288748405,144.009834694985,175.892988104493,57.0624160766602,67.8089218139648,119.280776977539,111,193,68,208,134,217,2454372,159.982288748405,144.009834694985,175.892988104493
9,10,Occipital_R,Right,2,57798.932881988585,14217.154694718,0.719390542269791,1.4396653175354,1.13069459780396,135.015158711003,73.4579690285812,188.842713775196,51.5863609313965,67.3061599731445,74.2670974731445,111,173,39,132,151,245,1284410,135.015158711003,73.4579690285812,188.842713775196
10,11,BrainStem_R,Right,2,11102.492755930134,3669.92676191802,0.974180259526046,4.42925453186035,1.34225247814312,116.884160181582,137.661721789883,147.988286316472,16.5960998535156,36.9857978820801,73.5083541870117,108,130,116,161,107,189,271392,116.884160181582,137.661721789883,147.988286316472
11,12,Cerebellum_R,Right,2,75714.03255393794,10950.891191601,0.602733130159694,1.25322258472443,1.45205407078644,136.605829351211,100.248228847205,142.35928844828,55.8051719665527,67.4926528930664,69.9363021850586,108,178,59,148,109,188,2019024,136.605829351211,100.248228847205,142.35928844828
